time,network speed test ping (s),jitter (s),upload (bit/s),download (bit/s),charmhub resource download mean (s),min (s),max (s),
2024-12-16T14:09:11+0000,86.18,6.22,4.86,158.94,40.97,31.64,57.56,
2024-12-16T14:56:32+0000,114.27,11.2,383.25,163.04,237.07299999999998,37.37,1139.55,
2024-12-16T14:58:28+0000,68.82,4.17,738.99,629.53,206.317,28.68,992.75,
2024-12-16T16:06:11+0000,41.36,5.42,585.49,866.45,32.298,25.08,37.87,
2024-12-16T16:29:13+0000,40.09,2.59,411.54,629.07,194.592,27.87,590.23,
2024-12-16T16:36:33+0000,48,8.18,772.51,723.52,293.646,150.49,535.94,
2024-12-16T16:53:11+0000,24.91,1.21,1025.91,1330.37,56.516,40.67,94.3,
2024-12-16T16:59:21+0000,25.09,0.85,1070.09,1342.91,36.168,22.12,57.17,
2024-12-16T17:11:33+0000,33.91,3.73,1152.56,1029.72,33.102000000000004,26.98,50.0,
2024-12-16T17:25:14+0000,32.82,3.05,398.12,579.11,65.712,46.24,117.7,
2024-12-16T18:52:13+0000,25.55,0.7,97.33,1232.61,42.672,24.68,66.6,
2024-12-16T20:48:11+0000,32.45,2.8,325.88,988.61,28.568,22.2,35.71,
2024-12-16T22:48:03+0000,24.45,0.36,1840.54,1433.04,30.006,25.98,33.97,
2024-12-17T01:07:13+0000,26.36,0.79,1381.55,1028.75,34.59,22.69,56.82,
2024-12-17T03:07:53+0000,29.27,3.27,260.93,312.74,58.582,24.03,134.49,
2024-12-17T03:14:16+0000,29.82,0.53,843.94,714.23,26.636,23.85,33.24,
2024-12-17T03:27:03+0000,65.64,4.21,346.98,914.59,36.652,31.84,47.7,
2024-12-17T04:05:04+0000,38.91,3.72,465.04,711.62,53.972,45.13,72.88,
2024-12-17T05:23:29+0000,23.82,1.7,216.69,1628.7,24.51,21.34,32.82,
2024-12-17T05:51:25+0000,47.55,28.72,212.91,1302.25,29.692,21.6,36.91,
2024-12-17T06:01:00+0000,26.36,2.05,818.85,1233.32,30.906,23.95,48.09,
2024-12-17T06:07:36+0000,24.91,0,1350.92,925.79,35.372,24.12,66.71,
2024-12-17T06:10:57+0000,32,1.46,1283.63,1207.51,30.67,23.85,37.88,
2024-12-17T06:16:48+0000,40,5.84,724.75,1800.26,26.442,22.46,30.02,
2024-12-17T08:09:07+0000,24.27,0.37,660.44,1108.87,31.02,31.02,31.02,
2024-12-17T08:19:19+0000,32.18,2.23,890.61,1003.75,30.958000000000002,24.77,41.63,
2024-12-17T08:50:17+0000,27.82,0.84,463.4,895.49,62.03,27.08,134.91,
2024-12-17T09:09:39+0000,111,8.46,229.28,115.74,53.554,28.61,70.87,
2024-12-17T09:38:42+0000,48.91,6.7,245.02,1240.52,33.176,23.4,54.07,
2024-12-17T10:08:07+0000,25.09,1.34,426.98,1330.06,45.198,42.05,51.74,
2024-12-17T10:41:41+0000,56.82,13.78,1411.87,598.57,39.428,23.19,59.09,
2024-12-17T11:06:32+0000,33.45,2.65,836.15,572.13,29.728,26.25,39.31,
2024-12-17T11:35:38+0000,54.18,11.05,6023.47,1908.43,26.79,22.61,30.58,
2024-12-17T12:08:43+0000,27.36,1.73,767.07,852.09,36.286,24.96,58.49,
2024-12-17T12:48:16+0000,48.91,9.13,5973.87,695.45,30.486,23.09,38.61,
2024-12-17T13:13:49+0000,28.45,1.54,118.3,819,30.016000000000002,22.1,36.11,
2024-12-17T13:41:31+0000,42.55,2.73,597.85,309.75,31.862,26.8,40.67,
2024-12-17T14:08:16+0000,65.82,10.52,734.07,187.47,48.38,29.09,75.77,
2024-12-17T15:06:53+0000,71.64,6.26,5541.85,990.36,30.616,23.52,39.49,
2024-12-17T15:38:30+0000,28,1.98,1415.59,1226.2,27.964,23.1,35.07,
2024-12-17T16:08:00+0000,25,0,1383.75,957.44,42.118,24.74,65.28,
2024-12-17T16:42:18+0000,30.82,1.53,1097.06,1355.98,29.376,25.51,34.96,
2024-12-17T17:06:24+0000,26.36,2.15,154.87,1721.51,31.108,22.27,46.53,
2024-12-17T17:39:10+0000,31.55,3.58,1107.19,475.44,38.256,29.22,50.02,
2024-12-17T18:07:27+0000,33.91,3.33,1160.63,1036.31,31.232,26.32,40.04,
2024-12-17T18:42:29+0000,37.73,3.19,897.22,532.61,33.152,24.62,44.68,
2024-12-17T19:06:14+0000,29.73,2.18,1045.68,1433.52,29.462,22.97,35.49,
2024-12-17T19:37:27+0000,38.91,2.27,913.32,887.97,46.542,26.4,86.09,
2024-12-17T20:06:54+0000,28.09,1.3,1144.86,975.09,32.432,26.3,43.54,
2024-12-17T20:37:44+0000,61.09,45.81,234.83,1495.96,32.442,24.68,41.23,
2024-12-17T21:06:38+0000,33,4.14,212.38,412.62,31.22,26.09,35.93,
2024-12-17T21:35:27+0000,23.64,0.88,326.36,1649.16,27.593999999999998,20.89,33.94,
2024-12-17T22:06:41+0000,24.82,1.31,1716.01,1713.37,33.924,20.84,60.41,
2024-12-17T22:39:06+0000,40.45,2.84,1255.5,1275.19,31.842,26.08,41.04,
2024-12-17T23:06:21+0000,25,0.19,1998.71,1576.76,29.684,24.01,33.3,
2024-12-17T23:35:57+0000,23.18,0.97,124.21,1000.76,29.198,21.07,34.25,
2024-12-18T00:15:55+0000,34.64,2.09,192.63,714.19,40.974000000000004,22.27,91.9,
2024-12-18T00:50:30+0000,24.27,0.19,1510.56,1906.06,28.662,20.89,39.64,
2024-12-18T02:35:29+0000,31.64,3.25,697.76,419.92,72.662,31.42,218.9,
2024-12-18T02:55:59+0000,26.55,0.34,775.16,1074.29,38.513999999999996,29.41,57.68,
2024-12-18T03:15:57+0000,25.91,1.95,1101,1028.15,35.686,29.68,42.32,
2024-12-18T03:43:45+0000,33.36,8.28,99.48,620.64,38.078,28.66,63.31,
2024-12-18T04:06:58+0000,31,1.5,1011.48,798.24,28.310000000000002,22.48,37.93,
2024-12-18T04:39:35+0000,45.55,4.61,5112.47,1185.09,30.156000000000002,23.16,38.63,
2024-12-18T05:06:37+0000,31,0.98,1089.4,788.1,26.654,22.92,32.11,
2024-12-18T05:38:08+0000,24.45,0.65,1106.91,902.62,28.622,22.44,39.0,
2024-12-18T06:07:31+0000,25.36,2.34,263.24,1406.13,31.022,22.12,53.05,
2024-12-18T06:42:11+0000,25.45,0.61,1280.11,1496.09,37.032,27.2,45.97,
2024-12-18T07:06:00+0000,34.18,2.65,257.01,1471.63,24.516,21.11,31.1,
2024-12-18T07:35:54+0000,24.45,0.8,562.94,1410.39,30.392,23.98,42.96,
2024-12-18T08:08:03+0000,26,0.21,1425.2,364.89,36.974,32.04,41.5,
2024-12-18T08:41:19+0000,34.27,2.23,843.88,304.99,35.324,28.23,42.34,
2024-12-18T09:07:05+0000,26.36,1.8,951.25,625.68,35.980000000000004,27.36,43.85,
2024-12-18T09:37:58+0000,43.09,4.3,841.8,348.13,33.612,22.6,46.07,
2024-12-18T10:07:09+0000,24.36,0.58,674.93,1234.29,34.06,27.24,42.84,
2024-12-18T10:40:18+0000,42.36,2.13,1517.78,783.23,30.349999999999998,23.15,39.37,
2024-12-18T11:07:02+0000,68.64,20.55,9.14,0.52,35.664,24.17,45.21,
2024-12-18T11:35:39+0000,33.18,3.22,403.16,996.83,26.62,23.76,35.49,
2024-12-18T12:08:30+0000,44.91,9.31,4895.41,1177.87,32.774,26.77,42.88,
2024-12-18T12:48:03+0000,39.55,2.27,11.85,1457.83,33.242,24.7,40.37,
2024-12-18T13:12:34+0000,37.73,10.15,197.88,510.37,36.978,31.11,40.8,
2024-12-18T13:40:42+0000,25.64,0.24,465.72,1105.46,40.078,24.26,57.74,
2024-12-18T14:07:17+0000,31.09,3.09,1144.79,363.16,39.036,30.08,48.37,
2024-12-18T14:39:32+0000,24.82,1.32,603.23,521.03,33.147999999999996,25.75,43.21,
2024-12-18T15:07:21+0000,26.27,0.67,158.09,1036.75,40.016,28.17,48.4,
2024-12-18T16:20:14+0000,226.73,4.94,372.73,317.27,183.288,99.84,227.88,
2024-12-18T16:41:09+0000,28.73,1.68,766.38,908.85,29.864,23.53,40.95,
2024-12-18T17:06:46+0000,48.55,7.31,165.6,1032.58,32.494,25.43,48.5,
2024-12-18T19:33:40+0000,199.91,2.94,31.37,255.11,349.934,34.64,1494.16,
2024-12-18T19:36:58+0000,134.27,10.47,739.18,212.12,38.298,26.48,60.62,
2024-12-18T20:07:01+0000,26.55,1.07,1206.89,1156.19,30.408,26.54,34.34,
2024-12-18T20:38:11+0000,26.73,3.1,368.29,1084.09,32.804,22.79,47.24,
2024-12-18T21:06:06+0000,28.18,1.47,1612.63,1168.96,25.734,23.1,29.73,
